price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
7000000000,84,2,1,2,yes,no,yes,yes,yes,20,yes,radiator
3300000000,53,1,1,4,no,no,no,yes,yes,17,no,radiator
5500000000,60,1,1,4,no,yes,yes,no,no,0,yes,package
5300000000,74,2,1,3,yes,no,yes,yes,yes,22,no,radiator
11500000000,148,3,2,1,yes,yes,yes,yes,no,13,yes,package
4200000000,53,1,1,3,yes,no,yes,no,yes,20,no,radiator
8900000000,90,2,2,5,no,yes,yes,yes,no,15,yes,package
6000000000,72,2,1,2,yes,yes,yes,yes,no,20,no,radiator
24000000000,151,3,3,3,yes,yes,yes,yes,yes,0,no,package
22880000000,176,3,3,4,no,yes,yes,yes,no,1,no,package
5290000000,75,2,1,3,no,yes,no,yes,no,19,no,radiator
4100000000,70,1,1,6,no,yes,yes,yes,yes,4,no,package
6000000000,85,2,2,3,yes,yes,yes,yes,yes,0,yes,package
26000000000,155,3,3,2,yes,yes,yes,yes,no,2,no,package
4900000000,68,1,1,1,no,yes,no,yes,yes,17,yes,radiator
13100000000,125,3,3,5,no,yes,yes,yes,no,1,no,package
8000000000,83,2,2,5,yes,yes,yes,yes,yes,6,no,package
4600000000,60,1,1,4,no,yes,yes,yes,yes,20,no,radiator
11500000000,140,2,2,1,no,yes,yes,yes,yes,2,yes,package
19500000000,190,3,3,6,yes,yes,yes,yes,no,6,yes,package
4600000000,62,1,1,3,yes,yes,yes,yes,no,16,yes,radiator
10000000000,115,3,3,5,no,yes,yes,yes,yes,3,no,package
8500000000,100,2,2,1,yes,yes,yes,no,yes,12,yes,package
4200000000,54,1,1,3,yes,no,yes,yes,no,16,no,radiator
4700000000,60,1,1,2,no,yes,yes,yes,no,17,yes,radiator
5300000000,75,2,1,3,no,no,yes,yes,yes,20,yes,radiator
5700000000,70,2,2,2,yes,yes,no,yes,yes,12,yes,package
9400000000,116,2,2,3,no,yes,yes,no,yes,1,no,package
11500000000,135,2,2,1,yes,yes,yes,yes,yes,4,yes,package
4280000000,54,1,1,2,yes,yes,yes,yes,yes,7,no,package
4700000000,60,1,1,2,yes,yes,no,yes,no,18,yes,radiator
16500000000,175,3,3,2,no,yes,yes,yes,no,10,no,package
4120000000,66,1,1,3,yes,no,yes,yes,no,17,no,radiator
15000000000,150,3,3,4,yes,yes,yes,no,no,1,no,package
3250000000,50,1,1,1,no,no,no,yes,yes,20,yes,radiator
7700000000,87,2,1,4,no,yes,yes,yes,yes,17,no,radiator
9200000000,100,2,1,3,yes,yes,yes,yes,yes,17,no,radiator
24200000000,190,3,3,3,yes,yes,yes,yes,yes,0,no,package
8800000000,135,3,1,3,yes,no,yes,yes,yes,22,no,radiator
8200000000,92,2,1,1,yes,yes,no,yes,yes,16,yes,radiator
5000000000,78,2,1,3,yes,no,yes,no,yes,17,no,radiator
6400000000,91,2,2,4,yes,yes,no,no,yes,9,yes,package
5325000000,71,1,1,2,no,no,no,yes,no,17,no,radiator
7350000000,102,3,1,4,yes,no,yes,yes,no,26,no,radiator
8500000000,90,2,2,3,no,yes,yes,yes,no,3,yes,package
9200000000,88,2,2,5,no,yes,yes,yes,no,12,yes,package
4900000000,61,1,1,2,yes,yes,no,yes,no,1,no,package
4750000000,66,1,1,3,yes,no,yes,yes,no,20,yes,radiator
9050000000,102,2,2,2,no,yes,yes,yes,yes,3,no,package
7750000000,80,2,2,2,no,yes,yes,yes,yes,6,yes,package
10680000000,107,2,2,1,yes,yes,yes,yes,yes,2,no,package
9500000000,110,2,2,2,yes,yes,yes,yes,no,13,no,package
7047000000,87,2,1,5,yes,yes,no,yes,yes,18,yes,radiator
6400000000,72,2,1,1,no,yes,yes,yes,yes,19,yes,radiator
6100000000,72,2,1,2,yes,yes,yes,yes,yes,17,yes,radiator
3900000000,56,1,1,1,yes,yes,yes,yes,yes,5,no,package
9700000000,124,3,2,1,yes,yes,yes,yes,no,18,no,radiator
5180000000,74,2,2,2,yes,yes,yes,yes,no,6,no,package
13700000000,145,3,3,4,no,yes,yes,yes,no,1,no,package
8350000000,81,2,2,3,yes,yes,yes,yes,no,11,no,package
4800000000,70,2,2,1,yes,yes,no,yes,no,14,yes,package
3850000000,62,2,2,1,yes,no,no,yes,no,8,no,package
5200000000,60,1,1,2,yes,yes,no,yes,yes,1,no,package
11500000000,135,2,2,1,no,yes,yes,yes,yes,5,no,package
21300000000,164,3,3,5,no,yes,yes,yes,no,3,no,package
3720000000,63,1,1,4,yes,no,no,yes,no,17,no,radiator
5500000000,75,2,1,3,yes,no,yes,yes,no,20,yes,radiator
13500000000,150,3,2,5,no,yes,yes,yes,yes,14,yes,package
3700000000,47,1,1,2,no,no,no,yes,no,22,yes,radiator
17820000000,132,3,3,6,no,yes,yes,yes,yes,2,yes,package
18000000000,145,3,3,3,yes,yes,yes,yes,yes,0,no,package
13400000000,116,3,3,3,no,yes,yes,yes,no,1,no,package
19500000000,175,3,2,3,yes,yes,yes,yes,yes,11,no,package
11000000000,124,2,2,2,no,yes,yes,yes,no,1,no,package
6900000000,87,2,1,2,no,no,yes,yes,no,24,yes,radiator
4000000000,50,1,1,3,no,yes,yes,no,no,21,yes,radiator
